"","x"
"cell1","CD34+CD45RA-CLEC12A-"
"cell2","CD34+CD45RA+CLEC12A-"
"cell3","CD34+CD45RA-CLEC12A-"
"cell4","CD34+CD45RA-CLEC12A-"
"cell5","CD34+CD45RA-CLEC12A-"
"cell6","CD34+CD45RA-CLEC12A-"
"cell7","CD34+CD45RA-CLEC12A-"
"cell8","CD34+CD45RA-CLEC12A+"
"cell9","CD34+CD45RA-CLEC12A-"
"cell10","CD34+CD45RA-CLEC12A-"
"cell11","CD34+CD45RA-CLEC12A-"
"cell12","CD34+CD45RA-CLEC12A+"
"cell13","CD34+CD45RA+CLEC12A-"
"cell14","CD34+CD45RA-CLEC12A-"
"cell15","CD34+CD45RA-CLEC12A-"
"cell16","CD34+CD45RA-CLEC12A-"
"cell17","CD34+CD45RA-CLEC12A-"
"cell18","CD34+CD45RA-CLEC12A-"
"cell19","CD34+CD45RA-CLEC12A-"
"cell20","CD34+CD45RA+CLEC12A-"
"cell21","CD34+CD45RA+CLEC12A-"
"cell22","CD34+CD45RA+CLEC12A+"
"cell23","CD34+CD45RA-CLEC12A-"
"cell24","CD34+CD45RA-CLEC12A-"
"cell25","CD34+CD45RA-CLEC12A-"
"cell26","CD34+CD45RA-CLEC12A-"
"cell27","CD34+CD45RA-CLEC12A-"
"cell28","CD34+CD45RA+CLEC12A-"
"cell29","CD34+CD45RA-CLEC12A-"
"cell30","CD34+CD45RA+CLEC12A-"
"cell31","CD34+CD45RA+CLEC12A-"
"cell32","CD34+CD45RA-CLEC12A-"
"cell33","CD34+CD45RA-CLEC12A-"
"cell34","CD34+CD45RA+CLEC12A-"
"cell35","CD34+CD45RA-CLEC12A-"
"cell36","CD34+CD45RA-CLEC12A-"
"cell37","CD34+CD45RA-CLEC12A-"
"cell38","CD34+CD45RA-CLEC12A+"
"cell39","CD34+CD45RA-CLEC12A-"
"cell40","CD34+CD45RA-CLEC12A-"
"cell41","CD34+CD45RA+CLEC12A-"
