"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","HBD",2.60055841105083,0.933262799930524,60.2908277430034,0,0,1381.54784181006
"2","STXBP5",2.3875268371062,1.91993391870403,69.6040060670054,0,0,1722.4838061432
"3","ITGA2B",2.28144980870331,0.761850860951029,92.4789323222731,0,0,2561.52891696334
"4","LTBP1",2.16524697571053,0.659484096713564,65.4046285162793,0,0,1567.98595082591
"5","GP1BB",2.09972965938204,0.659884194861395,72.7282681074587,0,0,1837.82554694237
"6","RAP1B",1.97922754924056,2.1936284133765,70.0787256073514,0,0,1739.99555493889
"7","ABCC4",1.92528735409345,1.09282902156056,72.213826834195,0,0,1818.82204515779
"8","SPINK2",-1.92487151561752,1.74269307561829,-69.277944278249,0,0,1710.45990531355
"9","PLCB1",-1.87556971887145,1.89087939945073,-59.2799977329691,0,0,1345.02262822742
"10","RNF220",-1.82886469406227,2.57071096903425,-57.1230028984265,0,0,1267.54788408067
"11","SLC24A3",1.7938766794896,0.678090405078689,57.2188009049052,0,0,1270.97409074734
"12","MED12L",1.7474574554691,0.880366871101977,63.7247647897686,0,0,1506.48141900437
"13","C1QTNF4",-1.742253201915,1.55011885471283,-60.9441208903485,0,0,1405.22003340872
"14","PLXDC2",1.70584253806253,0.952047773573934,58.3015400841054,0,0,1309.79537538221
"15","SH3BGRL3",1.69983504664026,2.65908164363201,58.6465945802267,0,0,1322.20322557852
"16","ATP8B4",-1.679105792898,1.65599217539356,-52.9455899471105,0,0,1119.70395838137
"17","NKAIN2",-1.66488828692721,2.71570170152063,-37.3019126490844,1.73981808815392e-271,3.55749060583921e-269,608.164688717912
"18","RAB27B",1.62917139751951,0.955476677266264,58.1034250515441,0,0,1302.67901544771
"19","UBE2C",1.59531404750615,0.976741561071841,53.4844750568966,0,0,1138.58840353302
"20","LAT",1.56681056602325,0.491671930565468,72.4305558199394,0,0,1826.82771134837
"21","PSTPIP2",1.55982848935977,1.03530225348683,64.2844344479509,0,0,1526.9483931861
"22","PDLIM1",1.54600765971303,0.731497496221958,70.132840296016,0,0,1741.99218460735
"23","HLA-DRA",-1.53917960303324,2.34237700555379,-42.4501232361994,0,0,767.066774345846
"24","TIMP1",1.53194942603864,1.38750741081117,54.8351974638615,0,0,1186.17935101465
"25","ZFP36L2",-1.52538916209889,2.20792872166943,-55.3296300196881,0,0,1203.68696790652
"26","ARHGAP6",1.52263556855728,0.46544478028873,69.5400767478855,0,0,1720.12606631843
"27","PRDX1",-1.50975732167822,3.20756444502559,-52.4641732140218,0,0,1102.88550277493
"28","TIMP3",1.45447208426464,0.546938872278658,52.8176971091733,0,0,1115.2311139548
"29","MSI2",-1.43271891518218,2.57428651523915,-46.7430791322814,0,0,907.358513414969
"30","KCNQ5",-1.40744894679146,2.56738588941405,-37.9276782096793,1.30839631861927e-279,2.99303835361149e-277,626.860566758305
"31","PLEK",1.40662410754737,1.16932745293969,43.9277657854184,0,0,814.636897446922
"32","GSTP1",-1.39006213670381,3.3517965535567,-49.791489017834,0,0,1010.482146423
"33","CD74",-1.38862351596809,2.27285348672262,-44.7092989113737,0,0,840.112129955153
"34","BMP2K",1.37513951095819,1.38498404750702,51.3170207256588,0,0,1063.01697175128
"35","DAD1",1.36802274213074,1.72550204739912,55.2097251710189,0,0,1199.43708734239
"36","CAVIN2",1.36034592844287,0.860759285256251,58.5766025723466,0,0,1319.68501992427
"37","ZBTB16",1.35502284240656,0.569295400595812,63.5960222736959,0,0,1501.77700672209
"38","GATA2",1.34817263166402,0.650638425096083,57.9902833296378,0,0,1298.61748481867
"39","PBX1",1.34392512000023,0.750931944708543,49.4695562468041,0,0,999.470710784817
"40","SLC44A1",1.33741156561648,0.758004013771567,57.8887605347188,0,0,1294.97464873219
"41","TLN1",1.33334176122507,1.57814661100858,54.6619489028077,0,0,1180.05542383983
"42","HOPX",-1.32604193412558,1.18118167977573,-51.7938520447849,0,0,1079.55253564448
"43","CALN1",-1.31009664609045,1.50190292112073,-37.8541436173039,1.1897994701338e-278,2.68813891397329e-276,624.654130794041
"44","CKB",1.30380946349193,0.622150852187414,52.6365674535052,0,0,1108.90239861276
"45","PRKAR2B",1.30368875484467,0.833198121693561,53.8135429084869,0,0,1150.1495111803
"46","SRGN",1.28120830946072,1.46897246868589,48.2649476479362,0,0,958.514090783326
"47","FHL2",1.2717197195574,0.523915725953834,63.6181331513323,0,0,1502.58486562356
"48","BST2",-1.26851652619805,1.23571655195655,-54.6853353046739,0,0,1180.88174810863
"49","AL157895.1",1.26283442269476,0.40176536568603,66.4082097290192,0,0,1604.82435513973
"50","DLC1",1.24382987203985,0.529008186414525,57.1491619149967,0,0,1268.48331577919
"51","S100A6",1.24330329043124,1.38934105476853,41.7905066044037,0,0,746.09512985229
"52","GMPR",1.23647622903765,0.581710891605846,63.2133374916407,0,0,1487.80167452284
"53","RGS18",1.2025827074301,0.47033837383008,57.3991871504155,0,0,1277.429474774
"54","ARL15",1.19376361560819,1.32826769950869,41.7902114563431,0,0,746.085783644342
"55","DNM3",1.18933331642989,0.421870607068528,55.4537332365869,0,0,1208.08838389039
"56","THBS1",1.18036667805881,0.373341170020415,42.7702236050507,0,0,777.303637708694
"57","IGLL1",-1.17928560515496,1.13474902974443,-34.7418170842806,4.14648332712184e-239,6.45810367046751e-237,533.657248436351
"58","ZEB2",1.16582279508379,2.06165514658801,37.260029295295,6.04495365139945e-271,1.22238314140813e-268,606.919912419268
"59","TMSB4X",1.16253200865632,4.63600702109093,34.339373226346,3.76644624062154e-234,5.67307402687197e-232,522.247913998327
"60","TPM4",1.15726927714887,1.53940105375276,42.6860896162112,0,0,774.609292180673
"61","LSP1",-1.14714415541803,1.08156205952584,-50.4487573441811,0,0,1033.04597848712
"62","LIMS1",1.14321075110197,1.95824035546126,44.1299976967325,0,0,821.208601548325
"63","NLK",1.13680353076336,0.972670551011868,47.5604430529051,0,0,934.748639570269
"64","TTC7B",1.13530575634656,0.747439226706519,54.8125680966857,0,0,1185.37913662108
"65","TNIK",1.13471435092644,1.13789539712578,43.8623190332535,0,0,812.513232253373
"66","ST8SIA6",1.13468960647848,1.2209386926284,41.5065858759543,0,0,737.120234934711
"67","FCER1A",1.13190423470821,0.380462331340411,52.1710783758209,0,0,1092.67090609168
"68","S100Z",-1.12738347372679,1.01702238446671,-42.3444325136057,0,0,763.69525965962
"69","CDKN2D",1.12644927455139,0.451585015360172,54.8903735562349,0,0,1188.13087566997
"70","SERPINB1",1.12438429966744,2.69388339425557,37.4328497710975,3.52565895762447e-273,7.45911234150364e-271,612.061497077889
"71","UBE2S",1.11942733760035,1.38009743189857,37.8684404037131,7.74745335814485e-279,1.7612704370277e-276,625.082916082578
"72","MAP3K5",1.11840046263889,1.42350073537078,46.7068251043756,0,0,906.148297720195
"73","SLC40A1",1.11542541919368,0.569732978685081,44.527015897901,0,0,834.151497906753
"74","FERMT3",1.11245697598066,1.20221004562074,45.2863400252278,0,0,859.055219473775
"75","PROS1",1.10949759147366,0.359164799243336,64.5583369702489,0,0,1536.97402719641
"76","PDZD8",1.10627066680283,1.03491281112638,44.1841389497326,0,0,822.970400525298
"77","VCL",1.105356267869,0.918778573568916,47.2997599228341,0,0,925.991404549378
"78","APBB1IP",-1.08287914673706,1.30784091794212,-46.2493795517735,0,0,890.912922689914
"79","DAAM1",1.07522024505833,0.526449387489551,49.4503449075537,0,0,998.814460211907
"80","FYB1",1.06365064413401,0.706328916412485,45.0764363511742,0,0,852.151626161154
"81","AUTS2",-1.05800270312235,1.55042576078193,-35.8809997494121,2.42947860388974e-253,4.11672899911891e-251,566.407780148862
"82","CTDSPL",1.05639954525125,0.954313468145466,44.601077358636,0,0,836.571930954438
"83","LGALS1",1.05148141972629,1.43697673149932,30.8874359265134,3.30162764745345e-193,3.67303566943598e-191,428.044956475349
"84","MEIS1",1.04785397024841,1.40555146398288,37.3749427507162,1.97933663786337e-272,4.16354599324351e-270,610.337133396236
"85","JUND",1.04734569489077,1.74497762443576,40.4841340014037,1.36843862335596e-313,3.91298609792598e-311,705.067025201839
"86","ERG",-1.0411687650427,1.28830458568413,-39.891080194106,1.34420978503943e-305,3.59119871111154e-303,686.67222618655
"87","ICAM3",-1.03679247116125,1.31745883818034,-44.6096418635945,0,0,836.851952005431
"88","ZMYND8",1.03255525391464,1.46545492397436,42.0719648944313,0,0,755.023248099483
"89","ARHGAP21",1.03061432547818,0.66273400362178,46.4559968304848,0,0,897.786337667747
"90","GATA1",1.02899792556239,0.348946595764968,65.1028888267488,0,0,1556.92297049942
"91","MALAT1",1.02809613194013,5.86012237346292,37.7554916141233,2.2907698870883e-277,5.02062686451012e-275,621.697968130559
"92","GYPC",-1.02581313855086,2.13391449413009,-38.977771934169,2.03858683093953e-293,5.04150787832553e-291,658.637641898998
"93","TGFB1",1.02341885627126,1.30177519356335,43.5796144603839,0,0,803.357308340297
"94","TUBA1C",1.01868262006441,1.44552492261155,38.6395835154418,6.01978446357329e-289,1.42148471710481e-286,648.349450185194
"95","CD99",-1.01494870309793,1.45801421734393,-43.25053647132,0,0,792.735652313577
"96","MPP1",1.01009146779173,0.784224727365447,47.3440852410729,0,0,927.479027096383
"97","FADS2",1.00979994973957,0.995134926277077,44.8098230022712,0,0,843.40408930032
"98","PYCARD",-1.00921155562637,1.48005995067624,-44.9669994800764,0,0,848.558136040442
"99","CD84",0.998458081682304,0.495596859765642,53.7306654788825,0,0,1147.23572290045
"100","LTB",-0.998390485795421,1.04516982960907,-27.4993000683502,5.05394684539992e-156,4.0300546511652e-154,342.508206437905
